altitude_analysis,planting_system_analysis,average_productivity_analysis,minimum_temperature_analysis,maximum_temperature_analysis,rain_vegetative_analysis,rain_reproductive_analysis,ph_H2O_analysis,ph_CaCl2_analysis,clay_analysis,MO_analysis,CO_analysis,K_cmolc_analysis,Ca_analysis,Mg_analysis,Al_analysis,H_Al_analysis,P_meh_analysis,P_rem_analysis,Na_analysis,K_mg_analysis,S_SO4_analysis,B_analysis,Cu_analysis,Fe_analysis,Mn_analysis,Zn_analysis,pre_sowing_N_analysis_kg,pre_sowing_P2O5_analysis_kg,pre_sowing_K2O_analysis_kg,seeding_N_analysis_kg,seeding_P2O5_analysis_kg,seeding_K2O_analysis_kg,top_dressing_N_analysis_kg,top_dressing_P2O5_analysis_kg,top_dressing_K2O_analysis_kg
"556,00",PLANTIO DIRETO - IRRIGADO,"72,00","10,00","36,00","564,20","693,20","4,70","4,70","600,00","16,00","0,00","0,20","4,90","2,60","0,00","5,42","21,00","0,00","0,00","78,20","8,00","1,05","4,60","12,00","11,60","1,20",0.0,26.0,120.0,14.000000000000002,70.0,20.0,0.0,0.0,0.0
"449,00",PLANTIO DIRETO - IRRIGADO,"72,60","15,30","29,50","375,60","461,60","4,90","4,90","350,00","15,00","0,00","0,18","2,80","1,70","0,00","3,34","30,00","0,00","0,00","70,38","9,00","0,43","1,70","17,00","15,30","1,30",0.0,0.0,120.0,12.8,80.0,0.0,0.0,0.0,0.0
"641,00",PLANTIO DIRETO - IRRIGADO,"93,00","13,50","31,50","197,00","629,00","5,50","5,50","699,00","20,00","0,00","0,36","5,80","1,80","0,00","3,54","114,00","0,00","0,00","140,76","0,00","0,83","6,20","17,00","18,00","4,00",0.0,0.0,84.0,16.0,80.0,0.0,32.2,0.0,0.0
"412,00",PLANTIO DIRETO - IRRIGADO,"70,00","13,80","30,30","191,40","453,10","5,10","5,10","312,00","28,00","0,00","0,12","4,70","2,00","3,00","4,82","16,00","0,00","0,00","46,92","11,00","0,58","2,70","24,00","34,90","0,20",3.0,45.0,22.5,2.0,56.00000000000001,0.0,0.0,0.0,0.0
"940,00",PLANTIO DIRETO - SEQUEIRO,"93,75","6,00","34,00","591,00","342,00","5,40","5,40","567,00","49,00","0,00","0,33","8,20","2,50","0,00","4,02","33,00","0,00","0,00","129,03","28,00","1,41","5,70","40,00","2,20","1,40",16.5,115.5,115.5,0.0,0.0,0.0,0.0,0.0,0.0
"982,00",PLANTIO DIRETO - SEQUEIRO,"97,00","5,00","33,00","522,50","322,40","5,20","5,20","672,00","47,00","27,00","0,40","2,60","0,90","0,60","5,63","8,00","0,00","0,00","156,40","31,00","0,33","4,60","16,00","1,20","0,20",0.0,0.0,0.0,18.16,86.26,63.56000000000001,0.0,0.0,73.8
"23,00",CONVENCIONAL - SEQUEIRO,"70,00","8,00","40,00","93,00","456,00","4,40","4,40","562,00","64,00","33,00","0,05","7,00","2,20","12,00","15,46","14,00","0,00","0,00","19,55","4,00","1,27","0,50","162,00","11,70","1,10",0.0,0.0,120.0,14.4,72.0,5.3999999999999995,0.0,0.0,0.0
"892,00",PLANTIO DIRETO - SEQUEIRO,"90,00","10,00","34,00","266,00","551,00","5,20","5,20","427,00","50,00","29,00","0,55","6,60","2,10","0,00","5,64","33,00","0,00","0,00","215,05","18,00","0,63","1,80","44,00","1,80","1,90",16.2,113.39999999999999,113.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0
"919,00",PLANTIO DIRETO - SEQUEIRO,"90,00","11,00","32,00","269,80","258,70","5,10","5,10","759,00","22,00","0,00","0,21","6,00","2,30","0,00","4,05","16,00","0,00","0,00","82,11","17,00","0,76","1,00","34,00","2,40","0,60",0.0,0.0,0.0,12.0,54.0,12.0,0.0,0.0,30.0
"555,00",PLANTIO DIRETO - SEQUEIRO,"70,00","15,50","30,40","343,00","544,00","5,10","5,10","600,00","22,00","0,00","0,40","4,90","2,50","0,40","3,92","51,00","0,00","0,00","156,40","37,00","0,89","4,60","12,00","22,60","0,60",0.0,0.0,150.0,33.0,114.0,0.0,0.0,0.0,0.0
"460,00",PLANTIO DIRETO - SEQUEIRO,"87,00","14,50","29,40","230,00","531,00","4,60","4,60","399,00","28,00","0,00","0,11","4,50","3,60","0,00","5,82","16,00","0,00","0,00","43,01","14,00","0,60","6,70","19,00","30,00","2,00",0.0,0.0,120.0,28.000000000000004,96.0,0.0,0.0,0.0,0.0
"884,40",PLANTIO DIRETO - SEQUEIRO,"77,75","15,00","37,00","349,15","415,61","5,90","5,90","610,00","28,00","0,00","0,16","3,70","2,30","0,00","2,02","8,00","0,00","0,00","62,56","8,00","0,80","0,60","23,00","10,00","2,40",0.0,144.0,0.0,0.0,118.4,0.0,0.0,0.0,111.0
"478,00",PLANTIO DIRETO - SEQUEIRO,"83,70","13,00","37,00","52,60","769,20","5,00","5,00","524,00","41,00","24,00","0,27","2,90","1,10","0,00","3,82","13,00","0,00","0,00","105,57","9,00","0,21","1,00","38,00","0,80","2,40",0.0,80.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0
"852,00",PLANTIO DIRETO - SEQUEIRO,"85,00","15,00","37,00","188,00","447,00","4,90","4,90","467,00","25,00","15,00","0,14","2,50","0,70","0,00","4,92","26,00","0,00","0,00","54,74","9,00","0,40","1,30","37,00","2,20","1,80",0.0,0.0,121.8,17.78,101.60000000000001,0.0,0.0,0.0,0.0
"1013,00",PLANTIO DIRETO - SEQUEIRO,"77,80","18,00","31,00","337,00","631,00","4,80","4,80","750,00","31,00","18,00","0,21","1,80","0,80","0,00","3,61","19,00","0,00","0,00","82,11","55,00","0,87","1,00","31,00","1,40","2,60",0.0,52.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
"720,00",PLANTIO DIRETO - SEQUEIRO,"80,00","19,00","32,00","273,60","685,00","5,10","5,10","656,00","23,00","0,00","0,16","3,90","0,90","0,00","5,32","110,00","0,00","0,00","62,56","27,00","1,01","2,30","37,00","2,20","12,90",0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,150.0
"851,00",PLANTIO DIRETO - SEQUEIRO,"85,70","19,50","31,90","406,00","378,50","5,20","5,20","20,00","24,00","0,00","0,12","3,40","0,90","0,00","3,12","18,00","0,00","0,00","46,92","9,00","0,43","1,00","28,00","1,60","3,10",0.0,0.0,84.0,24.2,114.4,0.0,0.0,0.0,0.0
"928,00",PLANTIO DIRETO - SEQUEIRO,"92,00","16,50","29,10","322,80","365,60","5,20","5,20","735,00","30,00","0,00","0,14","2,90","0,70","0,00","3,32","43,00","0,00","0,00","54,74","14,00","0,64","0,40","18,00","1,80","1,10",0.0,0.0,60.0,10.0,94.0,0.0,0.0,0.0,0.0
"793,00",PLANTIO DIRETO - SEQUEIRO,"76,40","15,00","37,00","349,15","415,61","5,30","5,30","258,00","16,00","0,00","0,16","2,20","0,60","0,00","2,21","16,00","0,00","0,00","62,56","8,00","0,86","1,10","44,00","9,50","2,40",0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
"522,00",PLANTIO DIRETO - SEQUEIRO,"73,50","20,00","39,00","118,77","367,64","5,20","5,20","267,00","25,00","0,00","0,16","4,50","0,90","0,00","3,11","25,00","0,00","0,00","62,56","8,00","1,13","0,40","50,00","0,80","1,40",0.0,91.2,129.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0
"800,00",PLANTIO DIRETO - SEQUEIRO,"84,00","17,00","35,00","375,20","615,40","6,00","6,00","672,00","12,00","7,00","0,09","1,70","0,50","0,00","1,71","7,00","0,00","0,00","35,19","5,00","0,33","0,60","16,00","1,00","1,00",0.0,0.0,90.0,20.0,75.0,30.0,0.0,0.0,0.0
"824,00",PLANTIO DIRETO - SEQUEIRO,"95,00","17,00","35,00","372,60","395,80","6,00","6,00","460,00","22,00","13,00","0,20","3,70","1,20","0,00","1,81","26,00","0,00","0,00","78,20","3,00","0,54","1,00","18,00","1,40","2,60",8.0,80.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
"240,00",PLANTIO DIRETO - SEQUEIRO,"68,00","18,00","36,00","188,00","342,00","4,60","4,60","482,00","23,00","13,00","0,11","2,00","0,80","2,00","4,52","27,00","0,00","0,00","43,01","38,00","0,94","1,40","62,00","1,60","0,60",0.0,0.0,0.0,13.5,89.10000000000001,10.8,0.0,0.0,90.0
"804,00",PLANTIO DIRETO - SEQUEIRO,"83,00","18,00","37,00","169,00","755,00","5,90","5,90","319,00","13,00","8,00","0,24","2,90","1,10","0,00","1,72","38,00","0,00","0,00","93,84","5,00","0,50","1,90","21,00","2,00","4,80",8.0,80.0,168.0,16.0,20.0,24.0,135.0,0.0,0.0
"800,00",PLANTIO DIRETO - SEQUEIRO,"81,70","15,00","35,00","360,00","689,00","5,50","5,50","311,00","21,00","12,00","0,15","4,20","1,10","0,00","1,91","16,00","0,00","0,00","58,65","2,00","0,91","0,40","32,00","1,60","2,00",8.0,80.0,168.0,16.0,60.0,24.0,0.0,0.0,0.0
"561,00",PLANTIO DIRETO - SEQUEIRO,"82,00","20,00","38,00","65,00","742,00","4,60","4,60","375,00","17,00","0,00","0,17","2,60","1,00","2,00","5,92","19,00","0,00","0,00","66,47","11,00","1,00","0,10","62,00","0,80","0,70",0.0,126.0,119.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
"810,00",CONVENCIONAL - SEQUEIRO,"86,00","19,80","32,40","416,00","417,00","5,10","5,10","500,00","14,00","0,00","0,20","2,80","0,80","0,00","2,21","38,00","0,00","0,00","78,20","9,00","0,36","0,70","22,00","1,30","1,60",0.0,0.0,0.0,9.0,60.0,0.0,0.0,0.0,0.0
